fid,station_name,Land
170,Balmberg,Switzerland
171,Wasserfallen,Switzerland
172,Sigriswil - Justistal,Switzerland
173,La Dôle - Jura sur Léman,Switzerland
174,Carì,Switzerland
175,Simplon,Switzerland
176,Davos Rinerhorn,Switzerland
177,Davos Jakobshorn,Switzerland
178,Davos Pischa,Switzerland
179,Davos Schatzalp,Switzerland
180,Davos Klosters Parsenn,Switzerland
181,Klosters Madrisa,Switzerland
182,Beatenberg - Hohwald,Switzerland
183,Zweisimmen - Sparenmoos,Switzerland
184,Lungern-Turren-Schönbüel,Switzerland
185,Rougemont - Videmanette,Switzerland
186,Mettmen,Switzerland
187,Sunnbüel - Kandersteg,Switzerland
188,San Bernardino,Switzerland
189,Gonten - Appenzellerland,Switzerland
190,Küssnacht - Seebodenalp,Switzerland
191,Leysin,Switzerland
192,Urnäsch AR,Switzerland
193,La Tzoumaz - Savoleyres,Switzerland
194,Mont-Soleil - Mont-Crosin,Switzerland
195,Engstligenalp,Switzerland
196,Tramelan,Switzerland
197,Landschaftspark Binntal,Switzerland
198,Engelberg-Brunni,Switzerland
199,Malbun - Steg (FL),Switzerland
200,Sils/Engadin,Switzerland
201,Crans - Montana,Switzerland
202,Les Pléiades,Switzerland
203,Portes du Soleil - Champéry - Les Crosets - Champoussin - Morgins,Switzerland
204,Amden Arvenbüel,Switzerland
205,Blatten-Belalp,Switzerland
206,Val-de-Travers/La Robella,Switzerland
207,Bumbach / Schangnau,Switzerland
208,La Punt/Engadin,Switzerland
209,Brienz - Axalp,Switzerland
210,Bergün Filisur,Switzerland
211,Les Mosses - La Lécherette,Switzerland
